2025-05-03 14:17:34,606 INFO     __main__: Инициализация TelegramClient...
2025-05-03 14:17:36,696 INFO     __main__: Успешный вход под @bot_early_crypto_watcher_bot (id=8149732599)
2025-05-03 14:17:36,697 INFO     __main__: Запускаем EarlyCryptoWatcherBot (Telethon)
2025-05-03 14:17:36,697 INFO     __main__: EarlyCryptoWatcherBot (Telethon) слушает команды ...
2025-05-03 14:18:10,317 INFO     __main__: Получена команда /scan от 469165312
2025-05-03 14:18:10,406 INFO     twitter_scanner: Проверка доступных зеркал Nitter...
2025-05-03 14:18:11,486 INFO     twitter_scanner: Рабочее зеркало: https://nitter.privacydev.net
2025-05-03 14:18:12,983 INFO     twitter_scanner: Рабочее зеркало: https://nitter.aishiteiru.moe
2025-05-03 14:18:14,463 INFO     twitter_scanner: Рабочее зеркало: https://nitter.aosus.link
2025-05-03 14:18:16,068 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.pussthecat.org: HTTPSConnectionPool(host='nitter.pussthecat.org', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f9b098dce90>: Failed to resolve 'nitter.pussthecat.org' ([Errno -2] Name or service not known)"))
2025-05-03 14:18:17,231 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.moomoo.me: HTTPSConnectionPool(host='nitter.moomoo.me', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)')))
2025-05-03 14:18:17,391 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.privacy.com.de: HTTPSConnectionPool(host='nitter.privacy.com.de', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1016)')))
2025-05-03 14:18:18,031 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.fdn.fr: HTTPSConnectionPool(host='nitter.fdn.fr', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f9b09a70e10>: Failed to resolve 'nitter.fdn.fr' ([Errno -2] Name or service not known)"))
2025-05-03 14:18:19,202 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.1d4.us: HTTPSConnectionPool(host='nitter.1d4.us', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f9b09b70190>: Failed to resolve 'nitter.1d4.us' ([Errno -5] No address associated with hostname)"))
2025-05-03 14:18:20,155 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.10qt.net: HTTPSConnectionPool(host='nitter.10qt.net', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)')))
2025-05-03 14:18:21,470 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.ahwx.org: HTTPSConnectionPool(host='nitter.ahwx.org', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nitter.ahwx.org'. (_ssl.c:1016)")))
2025-05-03 14:18:24,612 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.asmallr.tech: HTTPSConnectionPool(host='nitter.asmallr.tech', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f9b0a4224d0>: Failed to resolve 'nitter.asmallr.tech' ([Errno -2] Name or service not known)"))
2025-05-03 14:18:27,300 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.bierlefeld.com: HTTPSConnectionPool(host='nitter.bierlefeld.com', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)')))
2025-05-03 14:18:28,157 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.blahaj.land: HTTPSConnectionPool(host='nitter.blahaj.land', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)')))
2025-05-03 14:18:28,811 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.buntcomm.com: HTTPSConnectionPool(host='nitter.buntcomm.com', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)')))
2025-05-03 14:18:29,554 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.colibriste.org: HTTPSConnectionPool(host='nitter.colibriste.org', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1016)')))
2025-05-03 14:18:34,632 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.crabf.art: HTTPSConnectionPool(host='nitter.crabf.art', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f9b09cd7e50>, 'Connection to nitter.crabf.art timed out. (connect timeout=5)'))
2025-05-03 14:18:40,480 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.fullex.fr: HTTPSConnectionPool(host='nitter.fullex.fr', port=443): Read timed out. (read timeout=5)
2025-05-03 14:18:45,652 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.gl-pillet.fr: HTTPSConnectionPool(host='nitter.gl-pillet.fr', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9b09bcdc90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2025-05-03 14:18:48,893 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.mint.lgbt: HTTPSConnectionPool(host='nitter.mint.lgbt', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f9b09b502d0>: Failed to resolve 'nitter.mint.lgbt' ([Errno -2] Name or service not known)"))
2025-05-03 14:18:50,123 WARNING  twitter_scanner: Ошибка при проверке зеркала https://nitter.my.id: HTTPSConnectionPool(host='nitter.my.id', port=443): Max retries exceeded with url: /search?f=tweets&q=crypto (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f9b09bdf490>: Failed to resolve 'nitter.my.id' ([Errno -2] Name or service not known)"))
